QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,59974.0,24ec4a1dc2b8
AI1,1,59954.0,24ec4a1dc2b8
AI2,1,59636.0,24ec4a1dc2b8
AI3,1,59914.0,24ec4a1dc2b8
AI4,1,59855.0,24ec4a1dc2b8
AI5,1,59597.0,24ec4a1dc2b8
AI6,1,59577.0,24ec4a1dc2b8
AI7,1,59914.0,24ec4a1dc2b8
AI0,10,60007.9,24ec4a1dc2b8
AI1,10,59892.6,24ec4a1dc2b8
AI2,10,59688.0,24ec4a1dc2b8
AI3,10,59783.3,24ec4a1dc2b8
AI4,10,59852.8,24ec4a1dc2b8
AI5,10,59807.2,24ec4a1dc2b8
AI6,10,59801.3,24ec4a1dc2b8
AI7,10,59872.7,24ec4a1dc2b8
AI0,20,59930.3,24ec4a1dc2b8
AI1,20,59909.3,24ec4a1dc2b8
AI2,20,59806.2,24ec4a1dc2b8
AI3,20,59672.0,24ec4a1dc2b8
AI4,20,59802.1,24ec4a1dc2b8
AI5,20,59755.4,24ec4a1dc2b8
AI6,20,59799.2,24ec4a1dc2b8
AI7,20,59913.3,24ec4a1dc2b8
AI0,50,59940.7,24ec4a1dc2b8
AI1,50,59920.4,24ec4a1dc2b8
AI2,50,59798.4,24ec4a1dc2b8
AI3,50,59718.1,24ec4a1dc2b8
AI4,50,59821.1,24ec4a1dc2b8
AI5,50,59807.1,24ec4a1dc2b8
AI6,50,59781.8,24ec4a1dc2b8
AI7,50,59925.5,24ec4a1dc2b8
AI0,100,59936.0,24ec4a1dc2b8
AI1,100,59939.2,24ec4a1dc2b8
AI2,100,59773.4,24ec4a1dc2b8
AI3,100,59762.5,24ec4a1dc2b8
AI4,100,59768.6,24ec4a1dc2b8
AI5,100,59771.4,24ec4a1dc2b8
AI6,100,59787.1,24ec4a1dc2b8
AI7,100,59944.6,24ec4a1dc2b8
AI0,200,59934.0,24ec4a1dc2b8
AI1,200,59940.2,24ec4a1dc2b8
AI2,200,59771.0,24ec4a1dc2b8
AI3,200,59754.9,24ec4a1dc2b8
AI4,200,59734.5,24ec4a1dc2b8
AI5,200,59752.2,24ec4a1dc2b8
AI6,200,59757.6,24ec4a1dc2b8
AI7,200,59911.8,24ec4a1dc2b8
AI0,500,59922.0,24ec4a1dc2b8
AI1,500,59937.4,24ec4a1dc2b8
AI2,500,59752.5,24ec4a1dc2b8
AI3,500,59751.5,24ec4a1dc2b8
AI4,500,59737.7,24ec4a1dc2b8
AI5,500,59750.8,24ec4a1dc2b8
AI6,500,59782.0,24ec4a1dc2b8
AI7,500,59917.7,24ec4a1dc2b8
AI0,1000,59921.7,24ec4a1dc2b8
AI1,1000,59921.0,24ec4a1dc2b8
AI2,1000,59763.0,24ec4a1dc2b8
AI3,1000,59756.0,24ec4a1dc2b8
AI4,1000,59762.6,24ec4a1dc2b8
AI5,1000,59755.6,24ec4a1dc2b8
AI6,1000,59765.0,24ec4a1dc2b8
AI7,1000,59924.2,24ec4a1dc2b8
AI0,2000,59930.6,24ec4a1dc2b8
AI1,2000,59930.3,24ec4a1dc2b8
AI2,2000,59774.4,24ec4a1dc2b8
AI3,2000,59764.4,24ec4a1dc2b8
AI4,2000,59765.3,24ec4a1dc2b8
AI5,2000,59765.9,24ec4a1dc2b8
AI6,2000,59768.0,24ec4a1dc2b8
AI7,2000,59927.2,24ec4a1dc2b8
AI0,1,59835.0,24ec4a1dc2b8
AI1,1,59477.0,24ec4a1dc2b8
AI2,1,59815.0,24ec4a1dc2b8
AI3,1,59795.0,24ec4a1dc2b8
AI4,1,59815.0,24ec4a1dc2b8
AI5,1,59358.0,24ec4a1dc2b8
AI6,1,60014.0,24ec4a1dc2b8
AI7,1,59914.0,24ec4a1dc2b8
AI0,10,59886.5,24ec4a1dc2b8
AI1,10,59934.1,24ec4a1dc2b8
AI2,10,59743.6,24ec4a1dc2b8
AI3,10,59705.8,24ec4a1dc2b8
AI4,10,59811.1,24ec4a1dc2b8
AI5,10,59678.0,24ec4a1dc2b8
AI6,10,59880.6,24ec4a1dc2b8
AI7,10,59924.4,24ec4a1dc2b8
AI0,20,59909.4,24ec4a1dc2b8
AI1,20,59930.1,24ec4a1dc2b8
AI2,20,59749.5,24ec4a1dc2b8
AI3,20,59782.4,24ec4a1dc2b8
AI4,20,59730.8,24ec4a1dc2b8
AI5,20,59771.4,24ec4a1dc2b8
AI6,20,59820.1,24ec4a1dc2b8
AI7,20,60024.5,24ec4a1dc2b8
AI0,50,59920.0,24ec4a1dc2b8
AI1,50,59939.8,24ec4a1dc2b8
AI2,50,59770.5,24ec4a1dc2b8
AI3,50,59803.2,24ec4a1dc2b8
AI4,50,59776.2,24ec4a1dc2b8
AI5,50,59823.0,24ec4a1dc2b8
AI6,50,59791.3,24ec4a1dc2b8
AI7,50,59947.8,24ec4a1dc2b8
AI0,100,59939.2,24ec4a1dc2b8
AI1,100,59949.1,24ec4a1dc2b8
AI2,100,59768.4,24ec4a1dc2b8
AI3,100,59741.4,24ec4a1dc2b8
AI4,100,59746.8,24ec4a1dc2b8
AI5,100,59738.6,24ec4a1dc2b8
AI6,100,59759.9,24ec4a1dc2b8
AI7,100,59939.4,24ec4a1dc2b8
AI0,200,59907.1,24ec4a1dc2b8
AI1,200,59924.5,24ec4a1dc2b8
AI2,200,59748.4,24ec4a1dc2b8
AI3,200,59749.7,24ec4a1dc2b8
AI4,200,59777.0,24ec4a1dc2b8
AI5,200,59754.9,24ec4a1dc2b8
AI6,200,59767.6,24ec4a1dc2b8
AI7,200,59919.2,24ec4a1dc2b8
AI0,500,59917.3,24ec4a1dc2b8
AI1,500,59926.5,24ec4a1dc2b8
AI2,500,59761.3,24ec4a1dc2b8
AI3,500,59780.2,24ec4a1dc2b8
AI4,500,59756.5,24ec4a1dc2b8
AI5,500,59765.0,24ec4a1dc2b8
AI6,500,59765.8,24ec4a1dc2b8
AI7,500,59930.3,24ec4a1dc2b8
AI0,1000,59944.3,24ec4a1dc2b8
AI1,1000,59928.6,24ec4a1dc2b8
AI2,1000,59768.4,24ec4a1dc2b8
AI3,1000,59760.0,24ec4a1dc2b8
AI4,1000,59767.9,24ec4a1dc2b8
AI5,1000,59786.0,24ec4a1dc2b8
AI6,1000,59779.1,24ec4a1dc2b8
AI7,1000,59942.0,24ec4a1dc2b8
AI0,2000,59939.9,24ec4a1dc2b8
AI1,2000,59940.2,24ec4a1dc2b8
AI2,2000,59768.7,24ec4a1dc2b8
AI3,2000,59768.9,24ec4a1dc2b8
AI4,2000,59762.3,24ec4a1dc2b8
AI5,2000,59773.5,24ec4a1dc2b8
AI6,2000,59763.8,24ec4a1dc2b8
AI7,2000,59936.9,24ec4a1dc2b8
AI0,1,59914.0,24ec4a1dc2b8
AI1,1,59895.0,24ec4a1dc2b8
AI2,1,59736.0,24ec4a1dc2b8
AI3,1,59736.0,24ec4a1dc2b8
AI4,1,59656.0,24ec4a1dc2b8
AI5,1,59815.0,24ec4a1dc2b8
AI6,1,59795.0,24ec4a1dc2b8
AI7,1,59994.0,24ec4a1dc2b8
AI0,10,60005.8,24ec4a1dc2b8
AI1,10,59914.4,24ec4a1dc2b8
AI2,10,59678.1,24ec4a1dc2b8
AI3,10,59679.9,24ec4a1dc2b8
AI4,10,59696.0,24ec4a1dc2b8
AI5,10,59908.4,24ec4a1dc2b8
AI6,10,59876.7,24ec4a1dc2b8
AI7,10,59982.0,24ec4a1dc2b8
AI0,20,59920.3,24ec4a1dc2b8
AI1,20,59949.1,24ec4a1dc2b8
AI2,20,59696.9,24ec4a1dc2b8
AI3,20,59777.3,24ec4a1dc2b8
AI4,20,59843.0,24ec4a1dc2b8
AI5,20,59822.0,24ec4a1dc2b8
AI6,20,59803.3,24ec4a1dc2b8
AI7,20,59923.3,24ec4a1dc2b8
AI0,50,59962.1,24ec4a1dc2b8
AI1,50,59940.5,24ec4a1dc2b8
AI2,50,59718.1,24ec4a1dc2b8
AI3,50,59730.5,24ec4a1dc2b8
AI4,50,59758.3,24ec4a1dc2b8
AI5,50,59717.0,24ec4a1dc2b8
AI6,50,59740.1,24ec4a1dc2b8
AI7,50,59901.7,24ec4a1dc2b8
AI0,100,59937.6,24ec4a1dc2b8
AI1,100,59942.0,24ec4a1dc2b8
AI2,100,59737.6,24ec4a1dc2b8
AI3,100,59749.4,24ec4a1dc2b8
AI4,100,59764.3,24ec4a1dc2b8
AI5,100,59755.5,24ec4a1dc2b8
AI6,100,59755.9,24ec4a1dc2b8
AI7,100,59936.8,24ec4a1dc2b8
AI0,200,59950.0,24ec4a1dc2b8
AI1,200,59945.5,24ec4a1dc2b8
AI2,200,59770.4,24ec4a1dc2b8
AI3,200,59769.1,24ec4a1dc2b8
AI4,200,59743.0,24ec4a1dc2b8
AI5,200,59764.5,24ec4a1dc2b8
AI6,200,59798.6,24ec4a1dc2b8
AI7,200,59953.0,24ec4a1dc2b8
AI0,500,59932.9,24ec4a1dc2b8
AI1,500,59934.5,24ec4a1dc2b8
AI2,500,59752.0,24ec4a1dc2b8
AI3,500,59742.7,24ec4a1dc2b8
AI4,500,59772.7,24ec4a1dc2b8
AI5,500,59755.3,24ec4a1dc2b8
AI6,500,59749.5,24ec4a1dc2b8
AI7,500,59948.7,24ec4a1dc2b8
AI0,1000,59936.1,24ec4a1dc2b8
AI1,1000,59929.7,24ec4a1dc2b8
AI2,1000,59756.1,24ec4a1dc2b8
AI3,1000,59755.0,24ec4a1dc2b8
AI4,1000,59766.8,24ec4a1dc2b8
AI5,1000,59749.3,24ec4a1dc2b8
AI6,1000,59758.7,24ec4a1dc2b8
AI7,1000,59937.5,24ec4a1dc2b8
AI0,2000,59945.8,24ec4a1dc2b8
AI1,2000,59941.1,24ec4a1dc2b8
AI2,2000,59759.8,24ec4a1dc2b8
AI3,2000,59771.0,24ec4a1dc2b8
AI4,2000,59767.5,24ec4a1dc2b8
AI5,2000,59762.0,24ec4a1dc2b8
AI6,2000,59776.0,24ec4a1dc2b8
AI7,2000,59939.8,24ec4a1dc2b8
AI0,1,59795.0,24ec4a1dc2b8
AI1,1,59974.0,24ec4a1dc2b8
AI2,1,59815.0,24ec4a1dc2b8
AI3,1,59855.0,24ec4a1dc2b8
AI4,1,59815.0,24ec4a1dc2b8
AI5,1,59954.0,24ec4a1dc2b8
AI6,1,59795.0,24ec4a1dc2b8
AI7,1,59775.0,24ec4a1dc2b8
AI0,10,59989.8,24ec4a1dc2b8
AI1,10,59968.0,24ec4a1dc2b8
AI2,10,59729.8,24ec4a1dc2b8
AI3,10,59769.3,24ec4a1dc2b8
AI4,10,59846.9,24ec4a1dc2b8
AI5,10,59817.1,24ec4a1dc2b8
AI6,10,59842.9,24ec4a1dc2b8
AI7,10,59930.3,24ec4a1dc2b8
AI0,20,59946.1,24ec4a1dc2b8
AI1,20,59934.3,24ec4a1dc2b8
AI2,20,59785.3,24ec4a1dc2b8
