QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,2000,32814.5,24ec4a1dc2b8
AI1,2000,32814.8,24ec4a1dc2b8
AI2,2000,32448.7,24ec4a1dc2b8
AI3,2000,32449.7,24ec4a1dc2b8
AI4,2000,32449.2,24ec4a1dc2b8
AI5,2000,32443.0,24ec4a1dc2b8
AI6,2000,32449.4,24ec4a1dc2b8
AI7,2000,32805.6,24ec4a1dc2b8
AI0,1,32767.0,24ec4a1dc2b8
AI1,1,32648.0,24ec4a1dc2b8
AI2,1,32529.0,24ec4a1dc2b8
AI3,1,32588.0,24ec4a1dc2b8
AI4,1,32489.0,24ec4a1dc2b8
AI5,1,32330.0,24ec4a1dc2b8
AI6,1,31973.0,24ec4a1dc2b8
AI7,1,32608.0,24ec4a1dc2b8
AI0,10,32750.9,24ec4a1dc2b8
AI1,10,32695.5,24ec4a1dc2b8
AI2,10,32399.6,24ec4a1dc2b8
AI3,10,32344.0,24ec4a1dc2b8
AI4,10,32508.8,24ec4a1dc2b8
AI5,10,32381.7,24ec4a1dc2b8
AI6,10,32461.3,24ec4a1dc2b8
AI7,10,32767.2,24ec4a1dc2b8
AI0,20,32809.7,24ec4a1dc2b8
AI1,20,32801.8,24ec4a1dc2b8
AI2,20,32295.3,24ec4a1dc2b8
AI3,20,32435.3,24ec4a1dc2b8
AI4,20,32432.5,24ec4a1dc2b8
AI5,20,32380.8,24ec4a1dc2b8
AI6,20,32335.1,24ec4a1dc2b8
AI7,20,32788.8,24ec4a1dc2b8
AI0,50,32814.2,24ec4a1dc2b8
AI1,50,32820.2,24ec4a1dc2b8
AI2,50,32426.3,24ec4a1dc2b8
AI3,50,32404.4,24ec4a1dc2b8
AI4,50,32451.3,24ec4a1dc2b8
AI5,50,32446.1,24ec4a1dc2b8
AI6,50,32433.0,24ec4a1dc2b8
AI7,50,32865.8,24ec4a1dc2b8
AI0,100,32801.7,24ec4a1dc2b8
AI1,100,32817.4,24ec4a1dc2b8
AI2,100,32414.5,24ec4a1dc2b8
AI3,100,32472.3,24ec4a1dc2b8
AI4,100,32478.3,24ec4a1dc2b8
AI5,100,32428.8,24ec4a1dc2b8
AI6,100,32440.4,24ec4a1dc2b8
AI7,100,32823.0,24ec4a1dc2b8
AI0,200,32810.5,24ec4a1dc2b8
AI1,200,32802.6,24ec4a1dc2b8
AI2,200,32423.8,24ec4a1dc2b8
AI3,200,32463.4,24ec4a1dc2b8
AI4,200,32465.1,24ec4a1dc2b8
AI5,200,32449.1,24ec4a1dc2b8
AI6,200,32446.8,24ec4a1dc2b8
AI7,200,32806.2,24ec4a1dc2b8
AI0,500,32805.0,24ec4a1dc2b8
AI1,500,32813.0,24ec4a1dc2b8
AI2,500,32432.5,24ec4a1dc2b8
AI3,500,32434.8,24ec4a1dc2b8
AI4,500,32426.9,24ec4a1dc2b8
AI5,500,32452.0,24ec4a1dc2b8
AI6,500,32435.5,24ec4a1dc2b8
AI7,500,32817.5,24ec4a1dc2b8
AI0,1000,32810.6,24ec4a1dc2b8
AI1,1000,32818.0,24ec4a1dc2b8
AI2,1000,32444.4,24ec4a1dc2b8
AI3,1000,32450.0,24ec4a1dc2b8
AI4,1000,32464.9,24ec4a1dc2b8
AI5,1000,32443.8,24ec4a1dc2b8
AI6,1000,32455.9,24ec4a1dc2b8
AI7,1000,32823.3,24ec4a1dc2b8
AI0,2000,32817.4,24ec4a1dc2b8
AI1,2000,32821.0,24ec4a1dc2b8
AI2,2000,32453.4,24ec4a1dc2b8
AI3,2000,32441.9,24ec4a1dc2b8
AI4,2000,32446.1,24ec4a1dc2b8
AI5,2000,32446.5,24ec4a1dc2b8
AI6,2000,32450.1,24ec4a1dc2b8
AI7,2000,32807.2,24ec4a1dc2b8
AI0,1,32926.0,24ec4a1dc2b8
AI1,1,32846.0,24ec4a1dc2b8
AI2,1,32171.0,24ec4a1dc2b8
AI3,1,32251.0,24ec4a1dc2b8
AI4,1,32330.0,24ec4a1dc2b8
AI5,1,32489.0,24ec4a1dc2b8
AI6,1,32330.0,24ec4a1dc2b8
AI7,1,32787.0,24ec4a1dc2b8
AI0,10,32820.5,24ec4a1dc2b8
AI1,10,32798.8,24ec4a1dc2b8
AI2,10,32457.2,24ec4a1dc2b8
AI3,10,32542.6,24ec4a1dc2b8
AI4,10,32379.8,24ec4a1dc2b8
AI5,10,32443.3,24ec4a1dc2b8
AI6,10,32437.4,24ec4a1dc2b8
AI7,10,32864.3,24ec4a1dc2b8
AI0,20,32810.7,24ec4a1dc2b8
AI1,20,32812.6,24ec4a1dc2b8
AI2,20,32447.4,24ec4a1dc2b8
AI3,20,32495.0,24ec4a1dc2b8
AI4,20,32508.8,24ec4a1dc2b8
AI5,20,32502.8,24ec4a1dc2b8
AI6,20,32477.0,24ec4a1dc2b8
AI7,20,32867.3,24ec4a1dc2b8
AI0,50,32811.4,24ec4a1dc2b8
AI1,50,32803.8,24ec4a1dc2b8
AI2,50,32456.4,24ec4a1dc2b8
AI3,50,32421.9,24ec4a1dc2b8
AI4,50,32449.3,24ec4a1dc2b8
AI5,50,32479.9,24ec4a1dc2b8
AI6,50,32439.4,24ec4a1dc2b8
AI7,50,32816.9,24ec4a1dc2b8
AI0,100,32803.7,24ec4a1dc2b8
AI1,100,32797.1,24ec4a1dc2b8
AI2,100,32462.4,24ec4a1dc2b8
AI3,100,32436.0,24ec4a1dc2b8
AI4,100,32455.8,24ec4a1dc2b8
AI5,100,32439.8,24ec4a1dc2b8
AI6,100,32449.1,24ec4a1dc2b8
AI7,100,32829.7,24ec4a1dc2b8
AI0,200,32809.3,24ec4a1dc2b8
AI1,200,32824.0,24ec4a1dc2b8
AI2,200,32437.3,24ec4a1dc2b8
AI3,200,32458.2,24ec4a1dc2b8
AI4,200,32449.0,24ec4a1dc2b8
AI5,200,32448.3,24ec4a1dc2b8
AI6,200,32461.6,24ec4a1dc2b8
AI7,200,32812.5,24ec4a1dc2b8
AI0,500,32818.3,24ec4a1dc2b8
AI1,500,32818.5,24ec4a1dc2b8
AI2,500,32459.2,24ec4a1dc2b8
AI3,500,32453.6,24ec4a1dc2b8
AI4,500,32457.9,24ec4a1dc2b8
AI5,500,32456.3,24ec4a1dc2b8
AI6,500,32478.9,24ec4a1dc2b8
AI7,500,32825.4,24ec4a1dc2b8
AI0,1000,32811.2,24ec4a1dc2b8
AI1,1000,32826.5,24ec4a1dc2b8
AI2,1000,32468.4,24ec4a1dc2b8
AI3,1000,32460.9,24ec4a1dc2b8
AI4,1000,32451.4,24ec4a1dc2b8
AI5,1000,32455.3,24ec4a1dc2b8
AI6,1000,32468.4,24ec4a1dc2b8
AI7,1000,32815.7,24ec4a1dc2b8
AI0,2000,32823.2,24ec4a1dc2b8
AI1,2000,32822.0,24ec4a1dc2b8
AI2,2000,32453.1,24ec4a1dc2b8
AI3,2000,32457.9,24ec4a1dc2b8
AI4,2000,32460.2,24ec4a1dc2b8
AI5,2000,32452.3,24ec4a1dc2b8
AI6,2000,32468.2,24ec4a1dc2b8
AI7,2000,32824.9,24ec4a1dc2b8
AI0,1,32807.0,24ec4a1dc2b8
AI1,1,32807.0,24ec4a1dc2b8
AI2,1,32310.0,24ec4a1dc2b8
AI3,1,32688.0,24ec4a1dc2b8
AI4,1,32628.0,24ec4a1dc2b8
AI5,1,32529.0,24ec4a1dc2b8
AI6,1,32568.0,24ec4a1dc2b8
AI7,1,32727.0,24ec4a1dc2b8
AI0,10,32818.6,24ec4a1dc2b8
AI1,10,32880.1,24ec4a1dc2b8
AI2,10,32415.5,24ec4a1dc2b8
AI3,10,32472.9,24ec4a1dc2b8
AI4,10,32427.4,24ec4a1dc2b8
AI5,10,32415.6,24ec4a1dc2b8
AI6,10,32437.3,24ec4a1dc2b8
AI7,10,32898.0,24ec4a1dc2b8
AI0,20,32829.4,24ec4a1dc2b8
AI1,20,32817.6,24ec4a1dc2b8
AI2,20,32389.7,24ec4a1dc2b8
AI3,20,32499.9,24ec4a1dc2b8
AI4,20,32504.8,24ec4a1dc2b8
AI5,20,32513.8,24ec4a1dc2b8
AI6,20,32512.8,24ec4a1dc2b8
AI7,20,32837.3,24ec4a1dc2b8
AI0,50,32844.0,24ec4a1dc2b8
AI1,50,32842.8,24ec4a1dc2b8
AI2,50,32458.8,24ec4a1dc2b8
AI3,50,32439.8,24ec4a1dc2b8
AI4,50,32453.3,24ec4a1dc2b8
AI5,50,32450.0,24ec4a1dc2b8
AI6,50,32475.5,24ec4a1dc2b8
AI7,50,32835.2,24ec4a1dc2b8
AI0,100,32828.5,24ec4a1dc2b8
AI1,100,32844.6,24ec4a1dc2b8
AI2,100,32467.0,24ec4a1dc2b8
AI3,100,32484.0,24ec4a1dc2b8
AI4,100,32465.4,24ec4a1dc2b8
AI5,100,32466.9,24ec4a1dc2b8
AI6,100,32456.9,24ec4a1dc2b8
AI7,100,32810.4,24ec4a1dc2b8
AI0,200,32835.6,24ec4a1dc2b8
AI1,200,32805.9,24ec4a1dc2b8
AI2,200,32473.6,24ec4a1dc2b8
AI3,200,32469.8,24ec4a1dc2b8
AI4,200,32474.1,24ec4a1dc2b8
AI5,200,32455.5,24ec4a1dc2b8
AI6,200,32452.3,24ec4a1dc2b8
AI7,200,32845.6,24ec4a1dc2b8
AI0,500,32822.0,24ec4a1dc2b8
AI1,500,32823.1,24ec4a1dc2b8
AI2,500,32456.9,24ec4a1dc2b8
AI3,500,32466.0,24ec4a1dc2b8
AI4,500,32448.9,24ec4a1dc2b8
AI5,500,32454.4,24ec4a1dc2b8
AI6,500,32458.3,24ec4a1dc2b8
AI7,500,32827.3,24ec4a1dc2b8
AI0,1000,32828.0,24ec4a1dc2b8
AI1,1000,32821.6,24ec4a1dc2b8
AI2,1000,32460.8,24ec4a1dc2b8
AI3,1000,32445.3,24ec4a1dc2b8
AI4,1000,32449.1,24ec4a1dc2b8
AI5,1000,32464.7,24ec4a1dc2b8
AI6,1000,32467.3,24ec4a1dc2b8
AI7,1000,32825.4,24ec4a1dc2b8
AI0,2000,32825.0,24ec4a1dc2b8
AI1,2000,32823.5,24ec4a1dc2b8
AI2,2000,32450.5,24ec4a1dc2b8
AI3,2000,32459.0,24ec4a1dc2b8
