QTPy channel,Samples averaged,ADC code,QTPy identifier
AI2,1000,0.274,24ec4a1dc2b8
AI3,1000,0.215,24ec4a1dc2b8
AI4,1000,0.096,24ec4a1dc2b8
AI5,1000,0.116,24ec4a1dc2b8
AI6,1000,0.157,24ec4a1dc2b8
AI7,1000,0.371,24ec4a1dc2b8
AI0,2000,0.36,24ec4a1dc2b8
AI1,2000,0.369,24ec4a1dc2b8
AI2,2000,0.3815,24ec4a1dc2b8
AI3,2000,0.1445,24ec4a1dc2b8
AI4,2000,0.185,24ec4a1dc2b8
AI5,2000,0.205,24ec4a1dc2b8
AI6,2000,0.097,24ec4a1dc2b8
AI7,2000,0.398,24ec4a1dc2b8
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,0.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,0.0,24ec4a1dc2b8
AI1,10,0.0,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,0.0,24ec4a1dc2b8
AI6,10,1.9,24ec4a1dc2b8
AI7,10,0.0,24ec4a1dc2b8
AI0,20,0.0,24ec4a1dc2b8
AI1,20,0.0,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
AI5,20,0.0,24ec4a1dc2b8
AI6,20,0.0,24ec4a1dc2b8
AI7,20,0.0,24ec4a1dc2b8
AI0,50,1.16,24ec4a1dc2b8
AI1,50,2.36,24ec4a1dc2b8
AI2,50,0.0,24ec4a1dc2b8
AI3,50,0.0,24ec4a1dc2b8
AI4,50,0.38,24ec4a1dc2b8
AI5,50,0.0,24ec4a1dc2b8
AI6,50,1.58,24ec4a1dc2b8
AI7,50,0.38,24ec4a1dc2b8
AI0,100,0.39,24ec4a1dc2b8
AI1,100,0.0,24ec4a1dc2b8
AI2,100,0.0,24ec4a1dc2b8
AI3,100,0.0,24ec4a1dc2b8
AI4,100,0.98,24ec4a1dc2b8
AI5,100,0.0,24ec4a1dc2b8
AI6,100,0.39,24ec4a1dc2b8
AI7,100,0.0,24ec4a1dc2b8
AI0,200,0.29,24ec4a1dc2b8
AI1,200,0.19,24ec4a1dc2b8
AI2,200,0.29,24ec4a1dc2b8
AI3,200,0.685,24ec4a1dc2b8
AI4,200,0.0,24ec4a1dc2b8
AI5,200,0.0,24ec4a1dc2b8
AI6,200,0.0,24ec4a1dc2b8
AI7,200,0.19,24ec4a1dc2b8
AI0,500,0.428,24ec4a1dc2b8
AI1,500,0.542,24ec4a1dc2b8
AI2,500,0.194,24ec4a1dc2b8
AI3,500,0.0,24ec4a1dc2b8
AI4,500,0.154,24ec4a1dc2b8
AI5,500,0.116,24ec4a1dc2b8
AI6,500,0.272,24ec4a1dc2b8
AI7,500,0.544,24ec4a1dc2b8
AI0,1000,0.39,24ec4a1dc2b8
AI1,1000,0.447,24ec4a1dc2b8
AI2,1000,0.195,24ec4a1dc2b8
AI3,1000,0.371,24ec4a1dc2b8
AI4,1000,0.019,24ec4a1dc2b8
AI5,1000,0.233,24ec4a1dc2b8
AI6,1000,0.193,24ec4a1dc2b8
AI7,1000,0.407,24ec4a1dc2b8
AI0,2000,0.2905,24ec4a1dc2b8
AI1,2000,0.3105,24ec4a1dc2b8
AI2,2000,0.107,24ec4a1dc2b8
AI3,2000,0.058,24ec4a1dc2b8
AI4,2000,0.284,24ec4a1dc2b8
AI5,2000,0.186,24ec4a1dc2b8
AI6,2000,0.1755,24ec4a1dc2b8
AI7,2000,0.3205,24ec4a1dc2b8
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,19.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,0.0,24ec4a1dc2b8
AI1,10,0.0,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,0.0,24ec4a1dc2b8
AI6,10,0.0,24ec4a1dc2b8
AI7,10,3.9,24ec4a1dc2b8
AI0,20,4.95,24ec4a1dc2b8
AI1,20,0.0,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
AI5,20,1.95,24ec4a1dc2b8
AI6,20,0.0,24ec4a1dc2b8
AI7,20,1.95,24ec4a1dc2b8
AI0,50,0.0,24ec4a1dc2b8
AI1,50,0.0,24ec4a1dc2b8
AI2,50,0.0,24ec4a1dc2b8
AI3,50,0.0,24ec4a1dc2b8
AI4,50,0.38,24ec4a1dc2b8
AI5,50,0.0,24ec4a1dc2b8
AI6,50,0.0,24ec4a1dc2b8
AI7,50,0.78,24ec4a1dc2b8
AI0,100,0.39,24ec4a1dc2b8
AI1,100,0.38,24ec4a1dc2b8
AI2,100,0.0,24ec4a1dc2b8
AI3,100,0.0,24ec4a1dc2b8
AI4,100,0.19,24ec4a1dc2b8
AI5,100,0.19,24ec4a1dc2b8
AI6,100,0.0,24ec4a1dc2b8
AI7,100,0.0,24ec4a1dc2b8
AI0,200,0.19,24ec4a1dc2b8
AI1,200,0.29,24ec4a1dc2b8
AI2,200,0.0,24ec4a1dc2b8
AI3,200,0.0,24ec4a1dc2b8
AI4,200,0.0,24ec4a1dc2b8
AI5,200,0.0,24ec4a1dc2b8
AI6,200,0.0,24ec4a1dc2b8
AI7,200,0.095,24ec4a1dc2b8
AI0,500,0.192,24ec4a1dc2b8
AI1,500,0.076,24ec4a1dc2b8
AI2,500,0.0,24ec4a1dc2b8
AI3,500,0.116,24ec4a1dc2b8
AI4,500,0.0,24ec4a1dc2b8
AI5,500,0.308,24ec4a1dc2b8
AI6,500,0.474,24ec4a1dc2b8
AI7,500,0.232,24ec4a1dc2b8
AI0,1000,0.213,24ec4a1dc2b8
AI1,1000,0.27,24ec4a1dc2b8
AI2,1000,0.057,24ec4a1dc2b8
AI3,1000,0.233,24ec4a1dc2b8
AI4,1000,0.039,24ec4a1dc2b8
AI5,1000,0.097,24ec4a1dc2b8
AI6,1000,0.077,24ec4a1dc2b8
AI7,1000,0.527,24ec4a1dc2b8
AI0,2000,0.3385,24ec4a1dc2b8
AI1,2000,0.4075,24ec4a1dc2b8
AI2,2000,0.0485,24ec4a1dc2b8
AI3,2000,0.1835,24ec4a1dc2b8
AI4,2000,0.185,24ec4a1dc2b8
AI5,2000,0.3245,24ec4a1dc2b8
AI6,2000,0.077,24ec4a1dc2b8
AI7,2000,0.3905,24ec4a1dc2b8
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,0.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,1.9,24ec4a1dc2b8
AI1,10,3.9,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,0.0,24ec4a1dc2b8
AI6,10,0.0,24ec4a1dc2b8
AI7,10,0.0,24ec4a1dc2b8
AI0,20,0.0,24ec4a1dc2b8
AI1,20,0.0,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
AI5,20,0.0,24ec4a1dc2b8
AI6,20,0.0,24ec4a1dc2b8
AI7,20,2.95,24ec4a1dc2b8
AI0,50,0.78,24ec4a1dc2b8
AI1,50,0.0,24ec4a1dc2b8
AI2,50,0.0,24ec4a1dc2b8
AI3,50,0.0,24ec4a1dc2b8
AI4,50,0.38,24ec4a1dc2b8
AI5,50,0.0,24ec4a1dc2b8
AI6,50,0.38,24ec4a1dc2b8
AI7,50,0.0,24ec4a1dc2b8
AI0,100,0.0,24ec4a1dc2b8
AI1,100,1.18,24ec4a1dc2b8
AI2,100,0.59,24ec4a1dc2b8
AI3,100,0.0,24ec4a1dc2b8
AI4,100,0.0,24ec4a1dc2b8
AI5,100,1.19,24ec4a1dc2b8
AI6,100,0.19,24ec4a1dc2b8
AI7,100,0.0,24ec4a1dc2b8
AI0,200,0.385,24ec4a1dc2b8
AI1,200,0.29,24ec4a1dc2b8
AI2,200,0.39,24ec4a1dc2b8
AI3,200,0.0,24ec4a1dc2b8
AI4,200,0.095,24ec4a1dc2b8
AI5,200,0.29,24ec4a1dc2b8
AI6,200,0.195,24ec4a1dc2b8
AI7,200,0.095,24ec4a1dc2b8
AI0,500,0.232,24ec4a1dc2b8
AI1,500,0.314,24ec4a1dc2b8
AI2,500,0.0,24ec4a1dc2b8
AI3,500,0.116,24ec4a1dc2b8
AI4,500,0.116,24ec4a1dc2b8
AI5,500,0.392,24ec4a1dc2b8
AI6,500,0.276,24ec4a1dc2b8
AI7,500,0.624,24ec4a1dc2b8
AI0,1000,0.427,24ec4a1dc2b8
AI1,1000,0.489,24ec4a1dc2b8
AI2,1000,0.038,24ec4a1dc2b8
AI3,1000,0.155,24ec4a1dc2b8
AI4,1000,0.294,24ec4a1dc2b8
AI5,1000,0.156,24ec4a1dc2b8
AI6,1000,0.333,24ec4a1dc2b8
AI7,1000,0.291,24ec4a1dc2b8
AI0,2000,0.2615,24ec4a1dc2b8
AI1,2000,0.27,24ec4a1dc2b8
AI2,2000,0.0775,24ec4a1dc2b8
AI3,2000,0.2635,24ec4a1dc2b8
AI4,2000,0.1155,24ec4a1dc2b8
AI5,2000,0.078,24ec4a1dc2b8
AI6,2000,0.0775,24ec4a1dc2b8
AI7,2000,0.597,24ec4a1dc2b8
AI0,1,0.0,24ec4a1dc2b8
AI1,1,0.0,24ec4a1dc2b8
AI2,1,0.0,24ec4a1dc2b8
AI3,1,0.0,24ec4a1dc2b8
AI4,1,0.0,24ec4a1dc2b8
AI5,1,0.0,24ec4a1dc2b8
AI6,1,0.0,24ec4a1dc2b8
AI7,1,0.0,24ec4a1dc2b8
AI0,10,0.0,24ec4a1dc2b8
AI1,10,3.9,24ec4a1dc2b8
AI2,10,0.0,24ec4a1dc2b8
AI3,10,0.0,24ec4a1dc2b8
AI4,10,0.0,24ec4a1dc2b8
AI5,10,1.9,24ec4a1dc2b8
AI6,10,0.0,24ec4a1dc2b8
AI7,10,0.0,24ec4a1dc2b8
AI0,20,0.0,24ec4a1dc2b8
AI1,20,1.95,24ec4a1dc2b8
AI2,20,0.0,24ec4a1dc2b8
AI3,20,0.0,24ec4a1dc2b8
AI4,20,0.0,24ec4a1dc2b8
AI5,20,0.0,24ec4a1dc2b8
AI6,20,0.95,24ec4a1dc2b8
AI7,20,0.0,24ec4a1dc2b8
AI0,50,0.0,24ec4a1dc2b8
AI1,50,1.56,24ec4a1dc2b8
AI2,50,0.78,24ec4a1dc2b8
AI3,50,0.0,24ec4a1dc2b8
AI4,50,0.0,24ec4a1dc2b8
AI5,50,0.38,24ec4a1dc2b8
AI6,50,0.78,24ec4a1dc2b8
AI7,50,0.0,24ec4a1dc2b8
AI0,100,0.19,24ec4a1dc2b8
AI1,100,0.19,24ec4a1dc2b8
AI2,100,0.0,24ec4a1dc2b8
AI3,100,0.78,24ec4a1dc2b8
AI4,100,0.0,24ec4a1dc2b8
AI5,100,0.58,24ec4a1dc2b8
AI6,100,0.0,24ec4a1dc2b8
AI7,100,0.58,24ec4a1dc2b8
AI0,200,0.58,24ec4a1dc2b8
AI1,200,0.485,24ec4a1dc2b8
AI2,200,0.59,24ec4a1dc2b8
